no,Station,lon,lat
181,Vinh ,105.68,18.67
182,Xa Chau Hoan,104.95,19.47
183,Xa Keng Du,104.11,19.62
184,Xa Keng Du,104.11,19.62
185,Xa Na Loi,104.16,19.53
186,Xuan Quy,105.39,19.63
187,Yen Na,104.54,19.33
188,Yen Thuong,105.44,18.69
189,Yen Tinh,104.64,19.37
190,Yen Thuong,105.37,18.73
191,Tha Lin (16),103.45,19.42
192,Kỳ Anh,106.28,18.08
193,Tuyên Hóa,106.02,17.88
194,Bai Thuong,105.38,19.9
195,Bai Thuong,105.38,19.9
196,Bat Mot,105.05,20.03
197,Cam Nhuong,106.11,18.24
198,Cam Xuyen,106.02,18.23
199,Cao Quang ,106.15,17.76
200,Chau Binh,105.05,20.07
201,Chau Kim,105.46,19.98
202,Chi cuc Thuy loi ,105.89,18.35
203,Chuoi,105.66,19.63
204,Chuoi,105.66,19.63
205,Cua Dat,105.3,19.88
206,Cua Dat,105.3,19.88
207,Cuong Gian,105.46,18.56
208,Dai Loc,105.79,18.45
209,Dan Hoa,105.78,17.8
210,Do Diem,105.87,18.42
211,Dung Quat,106.02,17.9
212,Giao Thien,105.26,20.02
213,Giàng,105.76,19.88
214,Ha Tinh,105.9,18.34
215,Ho Be,106.19,17.82
216,Ho chua nuoc Kim Son ,106.27,18.01
217,Hong Trung,105.81,17.89
218,Ky Anh,106.29,18.09
219,Ky Lac,106.24,17.97
220,Ky Thuong,106.12,18.05
221,Ky Thuong ,106.13,18.02
222,Ky Trinh,106.03,18.08
223,Lang Chanh,105.24,20.15
224,Lang Chanh,105.24,20.15
225,Loc Thinh,105.48,20.09
226,Luong Son,105.28,19.97
227,Ly Nhan,105.6,20.02
228,Ly Nhan,105.6,20.02
229,Mai Lam,105.75,19.38
230,Minh Hoa,106.19,17.81
231,Minh Long,105.97,17.81
232,Muong Lan,103.72,20.8
233,Na Meo,104.65,20.3
234,Nghia Khanh,105.67,19.39
235,Ngoc Lac,105.4,20.03
236,Ngoc Son,105.67,19.98
237,Ngoc Tra,105.78,19.61
238,Ngoc Tra,105.78,19.61
239,Nhu Xuan,105.57,19.63
240,Quang Chau,105.88,19.77
241,Quynh Luu,105.63,19.15
242,Quynh Luu,105.64,19.14
243,Sam Son,105.9,19.74
244,Sao Vang,105.42,19.88
245,Tam Van,105.15,20.2
246,Tan Hoa ,106.09,17.79
247,Tang Thanh,105.65,19.08
248,Thanh Hoa,105.78,19.76
249,Tho Binh,105.5,19.82
250,Thong Nhat,105.48,20.08
251,Thuy Dien Dong Van,105.13,19.89
252,Tien Phong,105.62,20.07
253,Tinh Gia,105.78,19.44
254,Tri Le,105.17,19.98
255,Trieu Son,105.61,19.83
256,Tuyen Hoa,106.02,17.89
257,Vinh o,105.97,17.71
258,Xuan Khanh,105.58,19.92
259,Xuan Khanh,105.58,19.92
260,Xuan Minh,105.55,19.97
261,Yen Dinh,105.66,19.98
262,Yen Nhan,105.13,20.03
263,Yen Nhan ,105.13,20.03
264,Yen Thang,105.07,20.15
265,Van Xuan,105.28,19.83
266,Ky Dong,106.24,18.18
267,Ky Hop,106.2,18.05
268,Lai Thanh,105.82,19.79
269,Muong Lan,103.71,20.8
270,Mỹ Lý,104.33,19.63
